text,ret
公司 自筹,1
自筹资金 来源,1
政府 投资,0
国资 自筹 贷款 外资,1
自筹资金 来源,1
财政 企业 自筹资金,1
政府 投资,0
武汉 航空港 发展 集团 有限公司,1
非税 收入 燃油税 资金 资金来源,0
财政资金,0
中央财政 专项资金 地方 配套 资金,0
国资 自筹 贷款 外资,1
来源 国有 资金 落实,0
省级 财政资金,0
省 财政预算 资金,0
中央 省级 财政 专项资金,0
部省 补助 资金 地方 配套 资金 资金来源,0
业主 自筹 融资,1
湖北省财政厅 鄂 财建发 号 鄂 财建发 号 文 下达,0
自筹资金 来源,1
中央 投资 项目 具备 招标 条件,0
来源 襄阳 高新技术 产业 开发区 管委会,0
财政 资金来源,0
武汉市 东西湖区 交通运输 局,0
襄阳 高新技术 产业 开发区 管委会 项目 具备 招标 条件,0
国家 财政 专项资金 省 配套 资金,0
社会 资本 中央财政 补助,0
国有 资金 资金来源,0
国有 投资 资金来源,0
政府 投资,0
市级 城建 资金 资金来源,0
企业 自筹资金 来源,1
单位 自筹,1
单位 自筹,1
潜江市 公路 管理局 项目 具备 招标 条件,0
政府 专项资金,0
企业 自筹 银行贷款 资金来源,1
企业 自筹,1
企业 投资 银行贷款 资金来源,1
企业 自筹资金 来源,1
自筹资金 来源,1
自筹,1
上级 拨款 单位 自筹,1
政府 投资 资金来源,0
地方 财政 自筹,0
来源 政府 投资,0
钟祥市 财政 投资,0
企业 自筹,1
财政拨款,0
湖北省财政厅 鄂 财建发 号 鄂 财建发 号 文 下达,0
业主 自筹 银行贷款,1
国资 自筹 贷款 外资,1
政府 投资 资金来源,0
上级 专项资金,0
单位 自筹,1
部省 补助 资金 地方 自筹资金 项目 具备 招标 条件,2
自筹,1
企业 投资,1
财政资金 资金来源,0
政府 投资 资金来源,0
银行贷款 公司 自筹资金 来源,1
自筹,1
自筹资金 来源,1
国家 财政 专项资金,0
政府 拨款,0
部省 补助 地方 自筹资金 来源,2
财政 专项资金 补助 企业 自筹,0
上级 拨款 自筹资金 来源,1
政府 资金,0
中央 投资 万元,0
公司 自筹资金 来源,1
企业 投资 国内 银行贷款,1
政府 投资 资金来源,0
企业 自筹 贷款 资金来源,1
中央 省级 专项资金 采购 内容 包号 编号 分包 名称 计划 采购 品目 数量 包户 沼气 项目 关键设备 沼气 灶具 套 配套 管材 管件 沼气 净化器 套 第包 小型 沼气 工程项目 关键设备 沼气 升级版 灶具 台 第包 小型 沼气 工程项目 关键设备 配套 管材 管件 套 第包 小型 沼气 工程项目 关键设备 脱硫 脱水 阻火 装置 处 第包 小型 沼气 工程项目 关键设备 计量 监测仪器 处二 投标人 资格 条件 投标人 符合 中华人民共和国政府 采购 法 第二十二条 投标人 应为 中华人民共和国 境内 注册 法人 组织,0
上级 拨款,0
财政资金,0
建设 单位 自筹,1
上级 拨款 自筹,1
业主 自筹,1
政府 投资,0
政府 投资 工期 总工期 日历 天 工程质量 国家 施工 验收 规范 合格 标准 投标人 资格 营业执照 提供 营业执照 资质 条件 具备 国家文物局 颁发 文物保护 工程施工 二级 资质 生产 许可证 具备 生产 许可证 财务 近两年 财务状况 亏损 须 提供 年度 年度 会计师 事务所 审计 认定 完整 财务 审计报告 业绩 投标人 近两年 投标 截止 日前 推个,0
国资 自筹 贷款 外资,1
企业 自筹 贷款,1
市级 财政预算 资金来源,0
政府 投资 工期 计划 开工日期 工期 为个 日历 天,0
部省 补助 地方 自筹,2
政府 投资 编制 费用 规划 编制 总费用 初步 计划 万元,0
财政 配套 资金,0
公司 自筹,1
国家 补助 地方 自筹 招标人 郧西县 汇丰 水电 开发 有限责任 公司,0
政府 专项资金,0
国家 投资,0
烟草行业 水源 工程 援建 项目 补助 资金,0
政府 资金来源,0
申请 国家 补助 资金,0
部省 补助 投资 地方 自筹,2
政府 投资,0
部省 补助 资金 地方 政府 配套 资金,0
国家 投资 项目 具备 招标 条件,0
来源 武汉市 黄冈市 财政资金,0
省 交通厅 补助 资金 业主 自筹,1
财政拨款 加 地方 自筹资金 来源,0
中央 投资 万元,0
单位 自筹 项目 具备 招标 条件,1
省级 投资,0
政府 投资,0
政府 自筹 融资 资金来源,1
国资 自筹 贷款 外资,1
国资 自筹 贷款 外资,1
财政 投资,0
财政资金 项目 具备 招标 条件,0
中央 投资 地方 配套 资金,0
政府 拨款,0
来源 国有 资金 落实,0
部省 补助 地方 自筹,2
国防 补助 资金 加 地方 自筹资金 来源,0
财政资金 资金来源,0
单位 自筹 项目 具备 招标 条件,1
武汉 交通 工程建设 投资 集团 有限公司,0
企业 自筹,1
部省 专项资金 地方 自筹 招标人 荆州 海子湖 投资 有限公司,0
沪汉蓉 铁路 湖北 有限责任 公司 资金 安排,1
地方 财政资金 项目 施工 具备 招标 条件,0
融资 企业 自筹 招标人 江汉 枢纽 荆门 保税 物流 有限公司,1
中央 投资 地方 配套 投资,0
中央 投资 省级 配套 地方 配套 招标人 张湾区 年度 农村 饮水 工程建设 项目部,0
湖北 交投 沙公 高速公路 有限公司 资金来源,0
由省 财政厅 鄂 财农发 号 文 下达 招标人 张湾区 小型 农田水利 工程建设 项目部,0
来源 国有 资金,0
国资 资金,0
银行贷款 自筹,1
财政拨款 资金来源,0
来源 中国 铁路 总公司 武汉 铁路局,0
财政,0
上级 交通部门 补助 地方 财政 配套,0
财政,0
南山 灌区 项目 监理 二次 招标 公告 日期 招标 条件 湖北 路港 工程 咨询 有限公司 受 十堰市 茅箭区 水利局 委托,0
企业 自筹 项目 具备 招标 条件,1
省 拨 专款 资金,0
落实 来源于 地方 自筹资金,0
自筹 银行贷款 资金来源,1
政府 投资,0
上级 财政 补助 资金 地方 财政资金 医院 自筹资金,0
政府 投资 项目 出资 比例,0
政府 专项资金,0
省级 补助 资金,0
中央 专项资金,0
政府 专项资金,0
企业 自筹 银行贷款 项目前期 工作 具备 招标 条件,1
企业 自筹资金 来源,1
中央财政 地方 配套 资金,0
自筹,1
中央 市级 财政,0
企业 资金 项目 具备 招标 条件,1
落实,0
政府 投资,0
上级 补助 资金 项目 具备 招标 条件,0
银行贷款 企业 自筹资金 来源,1
企业 自筹 项目 施工 具备 招标 条件,1
由十财 农发 号 下达,0
企业 投资,1
南山 灌区 项目 招标 公告 日期 招标 条件 招标 项目 十堰市 茅箭区 省级 小型 水利 设施 建设 资金 南山 灌区 项目 鄂 财农发 号 文 下达 投资 计划,0
国有 资金 资金来源,0
企业 自筹资金 受 招标人 委托,1
湖北省财政厅 鄂 财建发 号 文 拨付 招标人 十堰市 茅箭区 水利局,0
地方 自筹,0
省补及 地方 自筹,0
政府 投资 项目 具备 招标 条件,0
财政资金,0
企业 自筹 债务 融资 资金来源,1
自筹资金 来源,1
为省 补及 地方 自筹,0
企业 自筹资金,1
政府 拔款 工期 计划 开工日期 工期 为个 日历 天,0
南山 灌区 项目 监理 招标 公告 日期 招标 条件 湖北 路港 工程 咨询 有限公司 受 十堰市 茅箭区 水利局 委托,0
国有 资金 企业 自筹资金 来源,1
省级 财政资金,0
国有 资金来源,0
财政 投资 资金来源,0
中央 预算内 投资 地方 政府 配套 资金 资金来源,0
沙北 公司 投资 资金来源,1
白鹭 湖 管理区 债权人,0
自筹资金,1
落实 招标 项目 鄂北 地区 水资源 配置 工程 项目 第标 视频 会商 显示 系统 一期 项目 湖北省 水利水电 工程 招标 管理 委员会 办公室 以号 招标 方案 备案 表 批复 招标,2
省级 补助 资金 地方 配套 资金,0
自筹资金 资金来源,1
自筹,1
中央财政 投资,0
铁路局 更新改造 资金,0
自筹资金,1
中央 预算内 投资 地方 投资,0
自筹资金 资金来源,1
部省 补助 地方 自筹,2
医院 自筹,1
武汉 铁路局 更新改造 资金,0
落实,0
来源 落实,0
中央 省级 投资,0
政府 投资,0
自筹 银行贷款 资金来源,1
省级 投资,0
企业 自筹,1
财政资金 社会 资本 资金来源,0
城建 资金,0
企业 自筹,1
政府 投资 资金,0
项目 投资方 招标人 自筹,1
项目 出资 比例,0
国资 自筹 贷款 外资,1
中央 财政资金 地方 配套 资金,0
政府 投资 中央 资金,0
企业 自筹,1
小型 水库 除险 加固 专项 建设 资金,0
自筹 银行贷款,1
省级 财政资金,0
企业 自筹 银行贷款 项目 年月日 恩施州 公共资源 交易网 媒体 发布 招标 公告,1
中央 财政资金 地方 配套 资金 自筹资金,0
鄂 财农发 号 文 下达,0
移民 基础设施 建设 专项资金,0
为市 城控 集团 融资,1
自筹,1
中国 铁路 总公司 自筹资金,1
省级 投资 鄂财建 发号,0
政府 债券,0
政府 投资,0
财政资金 政策性 贷款 企业 自筹资金 来源,1
申请 中央 预算内 补助 资金 银行贷款 地方 财政 配套 湖北 大鹏 工程 咨询 有限公司 年月日 组织 开 评标 活动,0
中央 财政资金 地方 配套 资金,0
财政资金,0
中央 资金 资金来源,0
中央 水利 发展 资金,0
州级 财政性 资金 政府 采购 项目 否七 投标人 资格 具备 政府 采购 法 第二十二条 条件 未 被 信用 中国 网站 列入 失信 被执行人 税收 违法 案件 当事人 名单 政府 采购 违法 失信 记录 名单 投 产品 进口设备,0
地方 自筹,0
上级 拨款,0
上级 补助 资金 地方 自筹资金 资金来源,0
上级 扶持 自筹资金,1
自筹资金 资金来源,1
自筹,1
十堰 城市 投资 建设 公司,0
来源 财政资金,0
市城 投 公司 融资,1
财政资金,0
自筹资金,1
财政 自筹资金 来源,2
自筹资金,1
自筹 项目 具备 招标 条件,1
保护 发展 基金 公司 投资 资金来源,1
企业 投资 国内 银行贷款,1
银行贷款 采用 模式 融资 资金来源,1
自筹资金 中国 石化 销售 有限公司 湖北 十堰 石油 分公司 现 委托 湖北 设备 工程 招标 有限公司 对本 项目 公开招标,2
落实 武汉 红安 高速公路 沪蓉 高速 红安 联络线 简称 项目 工程 可行性研究 咨询服务 黄冈市 交通运输 局 委托 红安县 交通运输 局 工作,0
市 本级 财政预算 资金来源,0
政府 投资 单位 自筹,0
企业 投资 银行贷款,1
政府 购买 服务 款及 银行贷款 资金来源,1
中央财政 资金来源,0
部省 补助 资金 地方 自筹资金 项目 具备 招标 条件,2
政府 拨款 招标 崇阳县 中医院 新建 住院 大楼 弱电 系统工程 包括 综合 布线 系统 有线电视 系统 视频 安防 监控 系统 机房 工程 系统 施工 安装 设备 供货 运输 水平 垂直 调试 验收 培训 售后服务 投标人 投标 总 报价 应 包括 内容 费用 税费 利润 投标人 图纸 招标 文件,0
多方 筹措 资金来源,0
自筹资金 来源 项目 具备 招标 条件,2
城投 公司,1
地方 政府 专项 债券 地方 政府 配套 资金 招标 代理 机构 湖北 大绪 工程 项目管理 有限公司 项目 具备 招标 条件,0
政府 投资 工期 计划 开工日期 工期 为个 日历 天,0
国资 自筹 贷款 外资,1
企业 投资 国内 银行贷款,1
国资 自筹 贷款 外资,1
单位 自筹,1
政府 投资,0
部省 补助 自筹资金 资金 落实,2
香港 言爱 基金会 扶持 资金 万元,0
中央财政 水利 资金 地方 投资,0
市城控 集团 融资 招标人 荆门市 政府 投资 工程建设 管理中心 项目 施工 年月日 荆门 公共资源 交易网 发布 招标 公告,2
政府 拔款 工期 计划 开工日期 工期 为个 日历 天,0
土地 置换 资金来源,0
铁路 总公司 重庆市 湖北省 河南省 银行贷款,1
自筹资金,1
计划,0
武汉 铁路局 更新改造 建设 资金 资金来源,0
政府 投资 招标人 宣恩县 公路 管理局,0
市 城建 资金,0
落实 项目法人 阳新县 堤防 管理 总 段,0
财政资金 采购 预算 万元 一标 包 万元 报价 超出 预算 金额 无效 投标 二标 包 万元 报价 超出 预算 金额 无效 投标 合格 供应商 条件 一标 包 供应商 具备 中华人民共和国政府 采购 法 第二十二条 条件 供应商 中华人民共和国 境内 依法 注册 合法 营业执照 事业单位 提供 法人 证书 独立 法人资格,0
省 预算内 专项资金 地方 配套 自筹资金 来源,0
市级 财政预算,0
中国 铁路 总公司 武汉 铁路局,0
财政资金 资金来源,0
国家 专项资金,0
自筹,1
上级 补助 资金 地方 自筹资金 落实,0
中央 专项资金,0
上级 拨款,0
中央财政 投资 地方 财政 配套 投资 项目 具备 招标 条件,0
省补 资金 地方 政府 配套 资金,0
地方 自筹资金,0
国拨 资金,0
政府 资金 招标 内容 中国人民解放军 部队 下属 基层 分队 文化氛围 建设 工程图纸 工程量 清单 全部内容 工期 日历 天 项目 投资额 约 万元 投标人 资格 资质 投标人 成立 时间,0
上级 补助 资金 项目 具备 招标 条件,0
申请 贷款 资金,0
学校 自筹资金 来源,2
自筹资金 资金来源 项目 具备 招标 条件,2
区 财政拨款 资金来源,0
政府 投资 自筹,0
政府 补助 资金 企业 自筹资金 来源,0
自筹,1
自筹资金 招标人 荆州市 综源 房地产 开发 有限公司 项目 具备 招标 条件,2
企业 自筹 银行贷款 项目前期 工作 具备 招标 条件,1
大冶市 城投 公司 自筹,1
国资 自筹 贷款 外资,1
项目 资金,0
城投 自筹资金 资金来源,1
由省 财政厅 鄂 财农发 号 文 下达 招标人 张湾区 现代农业 省级 小农 水 重点县 建设项目 部,0
包括 政府 补助 建设 单位 自筹 招标人 宜昌市 交通 投资 有限公司,0
包括 政府 补助 建设 单位 自筹 招标人 宜昌市 交通 投资 有限公司,0
财政 投资 项目 立项 批复,0
中央 投资 省级 配套 地方 配套 招标人 张湾区 现代农业 省级 小农 水 重点县 建设项目 部,0
政府 补助 银行贷款 企业 自筹 招标人 中航 农业 发展 湖北 有限公司,1
申请 国家 补助 自筹资金 资金来源,2
国资 自筹 贷款 外资,1
上级 专项 补助 资金来源,0
中央 专项资金,0
于部省 补助 地方 政府 自筹 招标人 房县 交通运输 局,0
企业 自筹 中央 预算内 资金,0
中央 专项资金 自筹资金 来源,0
政府 投资,0
财政资金 自筹,0
自筹资金 来源,1
企业 自筹 银行贷款 资金来源,1
政府 企业 投资 国内 银行贷款,1
企业 自筹资金 项目 具备 招标 条件,1
包括 使用者 支付 污水处理 服务费 应 纳入 市 财政 年度预算 中期 财政 规划 政府 项目 公司 支付 污水处理 可用性 运维 服务费 管网 可用性 运维 服务费,0
十堰市 政府 采购 管理 办公室 以号 下达 招标人 十堰市 河道 管理处,0
于部省 补助 地方 政府 自筹 招标人 房县 交通运输 局,0
中央 预算内 资金 地方 配套 资金,0
县级 自筹 耕地 开垦费,1
省级 投资 项目 具备 招标 条件,0
财政拨款 资金来源,0
来源 资本金 占 总 投资 湖北省 承担 境内 段 资本金,0
业主 自筹 项目 具备 招标 条件,1
县 财政资金,0
中央 投资 企业 自筹资金 项目 法律法规 规章 项目 招标 批准 登记 备案 手续,2
自筹资金 资金来源,1
财政资金 资金 落实,0
政府 资金 资金来源,0
企业 自筹资金,1
十堰市 城市 基础设施 建设 投资 有限公司,0
企业 自筹 银行贷款 资金来源,1
专项资金 资金来源,0
